,v,vw,o,c,h,l,t,n
0,27078.632484946458,20501.8704,20629.21,20489.93,20860.0,20237.0,1667174400000,547575
1,24553.02729597988,20484.3369,20489.55,20486.5,20699.0,20326.55,1667260800000,596301
2,50416.47411631788,20428.9086,20480.34,20151.4,20864.3,20059.53,1667347200000,718979
3,30945.07274704786,20240.8829,20151.29,20206.88,20404.0,20032.02,1667433600000,678313
4,50316.20627173256,20820.2206,20208.89,21149.04,21333.3,20181.61,1667520000000,838254
5,17228.563453356503,21333.3738,21149.03,21300.45,21478.8,21082.54,1667606400000,452139
6,13633.06026994448,21190.412,21300.45,20909.17,21378.0,20886.26,1667692800000,387050
7,30142.28077584499,20748.6829,20908.98,20592.94,21083.0,20394.34,1667779200000,560433
8,121265.43362420415,19205.4785,20592.0,18550.25,20712.0,16950.0,1667865600000,1496553
9,34089.48885251897,16965.4987,18557.0,15923.0,18600.0,15555.0,1667952000000,206508
10,125808.41448572221,16962.3757,15894.77,17553.56,18156.0,15720.0,1668038400000,1814613
11,80182.4700519727,16996.7189,17584.0,17047.0,17671.0,16336.05,1668124800000,1298650
12,26794.19022392979,16821.5295,17016.26,16820.0,17106.0,16595.25,1668211200000,499518
13,28012.06254223687,16567.1961,16783.32,16301.39,16956.0,16214.95,1668297600000,504265
14,67776.38048323657,16428.8595,16298.73,16590.73,17200.0,15790.25,1668384000000,1120567
15,58605.33975775903,16834.7858,16588.41,16877.93,17132.0,16502.85,1668470400000,1011043
16,45137.46915175826,16638.0239,16879.37,16645.24,17002.0,16347.0,1668556800000,817025
17,26652.050118874387,16604.6222,16646.58,16680.47,16742.3,16396.0,1668643200000,571091
18,31745.84596559338,16719.8589,16681.06,16680.59,16984.08,16526.28,1668729600000,553699
19,11069.840034121517,16637.3155,16678.78,16683.02,16811.0,16534.83,1668816000000,301499
20,19508.391716528688,16465.136,16680.7,16252.53,16742.0,16154.65,1668902400000,412126
21,54062.25589639872,15949.458,16252.43,15759.72,16305.0,15460.0,1668988800000,868063
22,51588.06436974528,15982.0761,15766.0,16199.71,16294.5,15582.7,1669075200000,797756
23,43369.17639983873,16463.6639,16219.0,16587.0,16700.0,16142.99,1669161600000,710363
24,24812.374592105214,16602.745,16585.83,16587.6,16804.0,16450.62,1669248000000,482539
25,23588.292651345793,16481.9699,16587.61,16510.9,16617.0,16333.0,1669334400000,467705
26,14388.766516650836,16553.4151,16510.9,16449.67,16697.0,16376.1,1669420800000,328051
27,12650.567133049612,16519.0516,16450.32,16419.88,16603.0,16395.0,1669507200000,302531
28,35614.74221995051,16198.8799,16420.2,16206.3,16487.0,15992.64,1669593600000,600192
29,27163.492639700093,16398.2538,16206.23,16438.0,16545.0,16092.53,1669680000000,592670
30,49216.09374846005,16915.7557,16437.94,17167.32,17297.0,16420.2,1669766400000,813545
31,35354.944683788715,17050.8021,17181.0,16980.08,17335.0,16855.0,1669852800000,635894
32,26858.035957070584,16961.3886,16980.07,17094.25,17108.25,16784.2,1669939200000,523128
33,15718.311410266986,16971.5904,17091.0,16888.53,17171.7,16863.58,1670025600000,360027
34,19581.237526417022,17039.6972,16889.17,17108.9,17210.0,16882.86,1670112000000,363118
35,38100.80405050195,17158.2845,17109.56,16966.05,17440.0,16865.22,1670198400000,606143
36,29455.17379905368,16995.823,16966.05,17089.05,17111.35,16904.04,1670284800000,508389
37,25663.392964298662,16857.5204,17095.0,16840.0,17156.0,16679.52,1670371200000,458677
38,27795.01293084473,17001.1804,16838.14,17226.02,17323.0,16735.9,1670457600000,473054
39,24564.93539708025,17181.2386,17226.03,17130.59,17366.2,17053.0,1670544000000,450979
40,8836.281397072731,17160.7471,17131.3,17128.1,17240.0,17093.42,1670630400000,262907
41,12803.111501861687,17165.6853,17128.1,17085.21,17503.0,17070.4,1670716800000,270032
42,25597.08465134177,17014.5381,17088.2,17211.66,17263.0,16875.83,1670803200000,462472
43,48971.63428671083,17595.3754,17212.9,17773.18,18070.0,17089.17,1670889600000,830921
44,56486.82268649745,17944.2274,17772.98,17804.98,18391.0,17657.4,1670976000000,905761
45,42919.23107356017,17532.4294,17805.36,17359.15,17867.0,17261.4,1671062400000,727236
46,54208.2968012852,16972.6438,17359.16,16632.64,17544.0,16529.53,1671148800000,823214
47,20931.84864251818,16698.9695,16634.29,16781.66,16811.0,16576.6,1671235200000,429226
48,12563.676320723323,16744.5757,16782.23,16755.0,16875.0,16663.76,1671321600000,331649
49,31741.049191817183,16620.6619,16742.33,16440.26,16825.0,16260.2,1671408000000,507903
50,38914.54982899786,16801.8804,16441.4,16897.65,17067.8,16398.22,1671494400000,572562
51,19284.14806271075,16822.4314,16896.17,16826.56,16934.0,16725.78,1671580800000,376803
52,24104.199055501005,16742.4829,16825.18,16815.5,16873.0,16560.84,1671667200000,468833
53,24465.129265822034,16822.7429,16815.28,16777.21,16966.0,16719.57,1671753600000,406393
54,10837.752436432624,16830.1669,16777.91,16837.12,16891.0,16775.88,1671840000000,273040
55,8138.782249671595,16806.852,16836.7,16829.02,16874.0,16720.89,1671926400000,243876
56,10095.381330383028,16849.6712,16824.9,16917.96,16963.0,16787.97,1672012800000,267912
57,20355.204976375833,16767.1797,16914.5,16698.39,16987.0,16585.97,1672099200000,407636
58,27182.736740640823,16611.2827,16698.0,16539.66,16797.0,16444.0,1672185600000,516503
59,21906.23472708406,16587.3451,16541.6,16628.8,16675.0,16479.5,1672272000000,452598
60,29820.335329194386,16524.6611,16628.9,16600.1,16683.9,16325.2,1672358400000,497479
61,17861.131907746098,16558.452,16600.0,16530.35,16664.0,16462.49,1672444800000,334945
62,12300.315533316923,16549.5494,16532.0,16611.58,16644.0,16490.0,1672531200000,292354
63,15129.289550399433,16692.5104,16615.0,16666.95,16803.0,16542.52,1672617600000,358299
64,21204.298955484,16680.0394,16668.3,16669.47,16810.0,16599.6,1672704000000,376204
65,29360.126362531068,16835.9876,16669.7,16844.42,17008.0,16645.87,1672790400000,512889
66,16945.68975941772,16826.2924,16849.3,16825.69,16888.0,16750.07,1672876800000,387550
67,28246.529401696687,16840.0521,16825.7,16948.06,17200.0,16670.82,1672963200000,475711
68,6569.5374952721295,16935.4521,16951.1,16942.37,16990.0,16903.58,1673049600000,229424
69,11138.691164274249,16971.7084,16945.1,17125.18,17181.0,16910.41,1673136000000,299555
70,37477.75170253635,17244.7501,17141.0,17177.98,17400.0,17102.97,1673222400000,651146
71,28242.029977765436,17313.5673,17177.94,17443.46,17506.0,17145.1,1673308800000,567001
72,32757.552109634402,17518.7719,17443.5,17944.27,18009.0,17308.8,1673395200000,593084
73,73373.3833279598,18384.1038,17953.0,18847.74,19115.85,17866.0,1673481600000,1020354
74,62714.997723952554,19233.7159,18847.77,19934.88,20000.0,18714.8,1673568000000,914811
75,70029.19199789544,20771.8989,19934.07,20957.02,21400.0,19893.25,1673654400000,1189155
76,28804.679587925275,20787.748,20956.2,20879.7,21066.9,20527.3,1673740800000,660406
77,47685.398378917234,21063.1342,20879.67,21197.0,21484.9,20611.45,1673827200000,769871
78,37937.173314182124,21223.3602,21191.79,21136.33,21679.1,20844.73,1673913600000,578913
79,45307.0725398338,21029.8077,21135.01,20674.29,21650.21,20370.01,1674000000000,746647
80,26934.189112995628,20886.6166,20674.03,21084.22,21207.0,20656.52,1674086400000,523776
81,40199.208588889436,21580.1896,21084.05,22669.81,22754.73,20856.0,1674172800000,751748
82,41746.541146419164,22922.0553,22670.0,22789.37,23428.6,22427.0,1674259200000,748168
83,30181.28829905608,22780.4871,22789.34,22714.87,23108.5,22298.15,1674345600000,590184
84,37256.266090320954,22849.2555,22714.81,22920.29,23180.55,22497.0,1674432000000,578321
85,44134.956680995376,22918.875,22920.67,22633.8,23165.56,22437.0,1674518400000,674619
86,47259.844808518676,22821.1929,22636.0,23062.36,23829.3,22320.0,1674604800000,641338
87,35345.724866108285,23065.9574,23054.0,23010.47,23293.3,22853.0,1674691200000,510196
88,32852.829185457995,23016.7165,23011.37,23084.4,23511.9,22492.8,1674777600000,526090
89,9878.719728223236,23016.0981,23084.38,23028.95,23196.99,22876.0,1674864000000,335976
90,28581.721848748643,23522.9894,23029.56,23745.8,23966.0,22974.75,1674950400000,648501
91,41222.80662548694,23155.3931,23744.34,22836.03,23802.99,22500.0,1675036800000,819271
92,27148.271556123083,23006.603,22836.04,23128.86,23317.9,22719.68,1675123200000,582030
93,26517.182865347102,23209.2363,23127.15,23732.6,23814.0,22753.6,1675209600000,552241
94,24676.16173020268,23840.2614,23735.3,23493.84,24282.1,23367.87,1675296000000,530896
95,19222.84825465529,23460.7852,23497.29,23433.22,23722.0,23208.01,1675382400000,436802
96,5685.312410012582,23399.7854,23433.48,23327.3,23589.8,23248.0,1675468800000,268906
97,10351.179141480836,23063.9107,23329.47,22936.34,23433.2,22758.01,1675555200000,303929
98,16311.523420832384,22897.3536,22936.34,22764.07,23163.05,22599.9,1675641600000,297980
99,13504.322780866576,23034.0546,22763.42,23244.67,23350.0,22742.0,1675728000000,329647
100,11378.222907518755,23028.7221,23244.64,22964.38,23451.01,22669.09,1675814400000,317608
101,27013.921815973008,22346.6217,22962.73,21800.63,23011.18,21700.0,1675900800000,488727
102,16881.11484414792,21739.4316,21800.62,21628.97,21942.41,21467.43,1675987200000,364109
103,6401.988544660282,21723.7859,21638.2,21863.73,21909.8,21605.35,1676073600000,219030
104,8364.02511172997,21879.7445,21863.73,21789.8,22099.9,21631.0,1676160000000,241762
105,18835.595268282512,21639.6592,21793.0,21789.14,21905.0,21354.0,1676246400000,323242
106,19006.5344451224,21970.395,21789.0,22206.27,22339.0,21505.0,1676332800000,363818
107,31402.045610658744,23270.7102,22206.26,24329.04,24393.0,22038.5,1676419200000,497617
108,41101.59775243664,24567.4712,24325.0,23521.5,25275.7,23500.0,1676505600000,583765
109,32253.073363221676,24165.4398,23525.0,24577.6,25025.0,23340.4,1676592000000,501789
