,v,vw,o,c,h,l,t,n
0,3650,1648.8627,1646.8,1633.75,1669.17,1631.01,1667347200000,3650
1,3638,1629.4542,1632.8,1629.67,1640.76,1616.21,1667433600000,3638
2,3307,1654.9867,1629.89,1680.3,1681.57,1628.6,1667520000000,3307
3,128,1675.1948,1671.9,1672.59,1681.11,1671.7,1667692800000,128
4,3593,1674.8567,1672.78,1674.1,1681.64,1665.1,1667779200000,3593
5,3642,1685.4345,1674.08,1711.44,1716.79,1664.61,1667865600000,3642
6,3632,1708.9635,1711.05,1706.44,1721.12,1700.51,1667952000000,3632
7,3129,1727.7178,1706.33,1751.31,1756.98,1703.3,1668038400000,3129
8,3454,1759.4861,1752.1,1770.24,1772.15,1746.51,1668124800000,3454
9,131,1763.8577,1773.3,1763.34,1773.3,1761.25,1668297600000,131
10,3616,1764.4756,1762.4,1769.42,1774.87,1753.47,1668384000000,3616
11,3623,1773.908,1769.62,1780.66,1786.05,1766.5,1668470400000,3623
12,3622,1776.1225,1781.27,1773.84,1784.89,1769.6,1668556800000,3622
13,3628,1763.3587,1772.8,1759.85,1774.53,1753.99,1668643200000,3628
14,3468,1758.9806,1760.26,1750.78,1767.55,1746.5,1668729600000,3468
15,124,1751.4534,1751.72,1752.2,1752.38,1750.4,1668902400000,124
16,3667,1741.5316,1751.3,1738.41,1752.82,1732.11,1668988800000,3667
17,3646,1742.5462,1738.59,1741.09,1749.48,1735.38,1669075200000,3646
18,3624,1741.1928,1741.33,1752.07,1752.96,1729.8,1669161600000,3624
19,3230,1755.4325,1752.7,1755.35,1758.52,1751.2,1669248000000,3230
20,2959,1753.4495,1755.64,1753.6,1761.05,1745.2,1669334400000,2959
21,127,1751.1679,1754.47,1750.75,1757.39,1749.14,1669507200000,127
22,3560,1749.5677,1750.67,1741.19,1763.43,1738.51,1669593600000,3560
23,3550,1751.041,1740.86,1748.66,1758.84,1739.31,1669680000000,3550
24,3630,1757.4883,1748.62,1773.35,1773.35,1746.5,1669766400000,3630
25,2532,1790.9041,1773.71,1802.18,1804.32,1771.41,1669852800000,2532
26,3470,1796.379,1802.35,1797.72,1802.73,1778.65,1669939200000,3470
27,123,1797.069,1797.3,1798.98,1799.25,1794.1,1670112000000,123
28,3626,1789.7901,1797.6,1769.12,1809.84,1764.87,1670198400000,3626
29,3619,1772.583,1768.91,1770.99,1780.82,1766.1,1670284800000,3619
30,3609,1777.0527,1770.71,1787.06,1790.41,1767.91,1670371200000,3609
31,3622,1786.0301,1787.14,1789.1,1794.58,1780.3,1670457600000,3622
32,3461,1795.7385,1789.19,1797.06,1805.92,1787.58,1670544000000,3461
33,127,1795.8574,1798.9,1794.8,1798.9,1794.4,1670716800000,127
34,3643,1786.9851,1794.79,1781.92,1795.4,1776.91,1670803200000,3643
35,3628,1795.7854,1781.93,1809.58,1824.15,1780.2,1670889600000,3628
36,3648,1808.6645,1809.61,1807.6,1813.37,1796.65,1670976000000,3648
37,3590,1784.2136,1807.58,1776.43,1807.77,1773.42,1671062400000,3590
38,3431,1783.5366,1776.09,1792.88,1794.16,1774.0,1671148800000,3431
39,128,1792.095,1794.4,1790.99,1794.4,1790.99,1671321600000,128
40,3631,1791.682,1790.08,1787.2,1798.3,1783.41,1671408000000,3631
41,3625,1803.4494,1786.99,1817.15,1820.66,1784.1,1671494400000,3625
42,3623,1815.3724,1817.23,1814.79,1823.3,1810.97,1671580800000,3623
43,3632,1807.6745,1814.8,1792.31,1820.3,1784.3,1671667200000,3632
44,3478,1796.1211,1793.52,1798.19,1803.01,1790.0,1671753600000,3478
45,7,1805.2071,1806.4,1806.41,1806.41,1798.06,1671926400000,7
46,161,1801.4181,1806.41,1801.82,1806.41,1797.89,1672012800000,161
47,3663,1809.5405,1801.52,1812.36,1832.77,1799.48,1672099200000,3663
48,3647,1806.2593,1812.27,1805.69,1814.23,1796.74,1672185600000,3647
49,3657,1810.4932,1804.97,1814.01,1819.95,1803.37,1672272000000,3657
50,3639,1818.3373,1814.98,1823.38,1825.69,1812.81,1672358400000,3639
51,7,1826.0386,1823.58,1826.51,1826.51,1823.58,1672531200000,7
52,154,1827.0919,1825.69,1829.15,1829.5,1822.9,1672617600000,154
53,3637,1837.1805,1829.19,1836.47,1849.88,1825.86,1672704000000,3637
54,3585,1852.5424,1836.37,1854.83,1864.84,1836.21,1672790400000,3585
55,3455,1843.5903,1854.83,1832.66,1858.83,1825.26,1672876800000,3455
56,3442,1846.312,1832.57,1865.9,1869.65,1831.3,1672963200000,3442
57,131,1868.2071,1868.3,1869.52,1869.73,1864.5,1673136000000,131
58,3627,1874.0819,1869.4,1870.38,1881.07,1867.13,1673222400000,3627
59,3597,1874.2774,1870.16,1877.18,1880.45,1867.82,1673308800000,3597
60,3598,1878.0256,1877.17,1876.9,1886.46,1867.34,1673395200000,3598
61,3601,1887.6279,1876.87,1897.99,1901.41,1875.82,1673481600000,3601
62,3429,1905.1026,1897.89,1920.12,1921.81,1892.3,1673568000000,3429
63,130,1919.0461,1922.2,1917.19,1922.2,1917.1,1673740800000,130
64,1649,1915.1925,1917.48,1917.93,1919.26,1911.34,1673827200000,1649
65,3243,1909.4781,1915.3,1908.69,1916.51,1903.85,1673913600000,3243
66,3547,1908.3887,1908.76,1906.86,1925.67,1896.1,1674000000000,3547
67,3583,1914.9849,1906.93,1931.96,1934.97,1901.02,1674086400000,3583
68,2973,1927.759,1929.68,1925.78,1937.15,1920.6,1674172800000,2973
69,133,1926.1178,1925.95,1927.18,1928.99,1923.7,1674345600000,133
70,2482,1924.8513,1922.22,1931.28,1932.67,1911.61,1674432000000,2482
71,1829,1934.6426,1935.7,1937.01,1939.18,1917.66,1674518400000,1829
72,1568,1937.8338,1925.9,1948.31,1948.72,1920.06,1674604800000,1568
73,3487,1936.9476,1947.56,1930.33,1948.84,1919.19,1674691200000,3487
74,2965,1927.2547,1927.44,1927.72,1934.82,1917.6,1674777600000,2965
75,128,1927.5505,1927.2,1928.65,1928.67,1924.8,1674950400000,128
76,3113,1925.7878,1925.47,1922.09,1934.32,1920.73,1675036800000,3113
77,3609,1919.5124,1921.59,1927.31,1930.88,1900.77,1675123200000,3609
78,2715,1931.137,1928.03,1953.03,1955.95,1920.84,1675209600000,2715
79,3572,1940.0517,1952.5,1914.79,1959.59,1910.7,1675296000000,3572
80,3440,1897.649,1915.18,1865.39,1918.43,1861.5,1675382400000,3440
81,131,1866.2367,1870.1,1865.24,1870.1,1861.2,1675555200000,131
82,3593,1871.5017,1865.56,1868.45,1881.18,1863.36,1675641600000,3593
