,v,vw,o,c,h,l,t,n
0,3390268.0,199.3657,198.13,200.17,200.2864,197.79,1669093200000,44856
1,2685706.0,200.95,200.0,201.39,201.755,199.8258,1669179600000,44499
2,1289076.0,201.4901,201.22,201.54,201.83,201.03,1669352400000,26675
3,3366776.0,199.3292,199.93,198.27,200.755,197.8037,1669611600000,62767
4,2640711.0,198.0051,198.49,197.96,199.06,197.1,1669698000000,55272
5,4201324.0,200.0442,198.14,204.06,204.1,197.04,1669784400000,75756
6,4354537.0,204.1175,204.83,204.18,205.47,202.79,1669870800000,59049
7,2917063.0,202.99,201.55,203.99,204.48,201.1974,1669957200000,70783
8,3840516.0,200.7725,202.51,199.98,202.96,199.25,1670216400000,74161
9,3901011.0,197.4189,199.91,196.98,200.05,195.84,1670302800000,85101
10,3438113.0,196.74,196.45,196.66,197.97,196.02,1670389200000,65685
11,3982559.0,198.1671,197.55,198.36,198.918,196.822,1670475600000,51695
12,3784948.0,197.963,197.53,196.7,198.83,196.623,1670562000000,77400
13,3931575.0,198.0656,197.0,199.53,199.53,196.7,1670821200000,68058
14,4191885.0,202.0467,205.628,201.02,205.628,199.62,1670907600000,74478
15,3331221.0,201.0358,200.92,199.9,202.72,198.27,1670994000000,53002
16,5544545.0,195.153,197.21,194.92,197.71,194.07,1671080400000,121130
17,4755411.0,192.4299,193.51,192.69,194.22,191.42,1671166800000,118928
18,6433831.0,191.4058,192.8,190.75,192.92,189.95,1671426000000,88304
19,5637787.0,191.205,190.42,191.15,191.97,189.73,1671512400000,100232
20,4973432.0,193.8105,192.47,194.04,194.6516,192.2,1671598800000,60050
21,5153889.0,189.2979,191.61,190.37,191.68,187.38,1671685200000,93415
22,4214440.0,190.5826,190.0,191.42,191.44,189.01,1671771600000,78877
23,6037700.0,190.8363,191.39,190.62,191.52,189.75,1672117200000,71399
24,5711907.0,189.5569,190.65,188.22,191.5,188.06,1672203600000,71362
25,5425657.0,191.5345,189.49,191.68,192.16,189.366,1672290000000,83715
26,5979830.0,190.3539,190.18,191.19,191.27,189.28,1672376400000,67220
27,4092466.0,190.3996,192.38,190.41,193.36,188.93,1672722000000,96002
28,3852482.0,191.7975,191.51,192.1,193.06,190.14,1672808400000,75365
29,4149991.0,190.2798,191.22,189.85,191.27,189.46,1672894800000,66699
30,3184261.0,192.8493,191.12,194.04,194.64,189.85,1672981200000,60241
31,3888341.0,195.6597,195.457,194.12,196.8882,194.008,1673240400000,60835
32,2963520.0,194.8175,193.65,195.65,195.65,193.29,1673326800000,46243
33,3435333.0,197.1282,196.55,198.23,198.25,196.1539,1673413200000,51203
34,3552746.0,198.7566,198.79,199.19,199.8,196.63,1673499600000,66849
35,2798612.0,199.0066,197.62,200.04,200.269,197.3001,1673586000000,51980
36,5426661.0,199.9803,200.04,199.77,200.88,199.34,1673931600000,69217
37,3890198.0,198.5056,200.4,196.62,201.09,196.56,1674018000000,81238
38,2282524.0,195.2309,195.41,195.02,196.24,194.32,1674104400000,56274
39,2429314.0,197.1293,195.85,198.76,198.81,194.93,1674190800000,48813
40,3438142.0,200.8577,199.2,201.28,202.16,198.7,1674450000000,60502
41,2679390.0,200.8368,200.4,200.95,201.455,199.74,1674536400000,45138
42,2801970.0,199.3525,198.95,201.05,201.2,197.59,1674622800000,47630
43,2806240.0,202.3218,202.35,203.12,203.28,200.85,1674709200000,39206
44,4521882.0,203.9383,202.6,203.94,205.05,202.575,1674795600000,67003
45,2992250.0,202.3009,202.28,201.21,203.61,201.09,1675054800000,56937
46,4827629.0,202.9536,201.65,204.43,204.49,201.45,1675141200000,57516
47,4385573.0,205.249,203.91,206.92,208.32,202.51,1675227600000,66469
48,3730807.0,209.539,209.0,210.01,210.88,208.1,1675314000000,69745
49,2854159.0,208.5791,207.51,207.84,210.18,207.04,1675400400000,58458
50,2841716.0,206.4066,206.41,206.28,207.07,205.5,1675659600000,56037
51,3028103.0,207.0036,206.0,208.88,209.563,205.03,1675746000000,49856
52,2945397.0,207.152,207.91,206.65,208.71,206.26,1675832400000,47428
53,2705943.0,206.2544,208.46,204.64,208.61,204.1,1675918800000,43118
54,2159772.0,204.4749,204.02,205.01,205.1796,203.47,1676005200000,44194
55,3467200.0,206.7271,205.41,207.45,207.5,204.99,1676264400000,50505
56,2743414.0,207.1248,206.65,207.53,208.6593,205.31,1676350800000,45982
57,2003152.0,207.3727,206.46,208.46,208.4978,206.04,1676437200000,42204
58,2458759.0,207.0011,205.97,205.68,208.02,205.54,1676523600000,49580
59,2324041.0,204.3494,204.77,205.08,205.2327,203.531,1676610000000,54485
60,3110758.0,201.8426,203.15,200.83,203.5,200.65,1676955600000,87601
61,3011715.0,200.8336,201.0,200.66,201.96,199.9296,1677042000000,64923
62,3440076.0,201.0204,202.09,201.73,202.458,199.38,1677128400000,57388
63,3020598.0,198.9666,199.29,199.48,199.93,198.16,1677214800000,73367
64,2850485.0,200.7212,201.31,200.19,202.03,199.72,1677474000000,48587
65,2299124.0,200.209,200.25,199.52,201.08,199.52,1677560400000,50438
66,4176017.0,199.2147,199.38,200.0,200.0,198.2,1677646800000,75573
67,3366143.0,198.9319,197.99,200.31,200.8,197.495,1677733200000,73236
68,2484710.0,202.5117,201.08,203.57,203.7,200.91,1677819600000,49202
69,3812890.0,203.9472,203.86,203.3,204.98,203.03,1678078800000,60860
70,3346744.0,201.1231,203.1,200.27,203.47,199.9501,1678165200000,63063
71,1985879.0,200.1569,200.4,200.53,201.0,199.4,1678251600000,44737
72,2974271.0,198.8478,200.8,196.57,201.75,196.12,1678338000000,64600
73,6310531.0,194.3723,196.25,193.26,197.0,192.26,1678424400000,148423
74,6253729.0,193.0308,190.9,192.46,195.16,190.18,1678680000000,132612
75,4473782.0,195.512,195.5,195.89,196.95,193.57,1678766400000,76035
76,3855377.0,192.9922,192.63,194.38,194.4,191.53,1678852800000,93146
77,3225494.0,196.0567,193.33,197.74,197.91,192.8,1678939200000,56346
78,2902376.0,195.4882,197.25,195.19,197.43,194.38,1679025600000,58743
79,2898137.0,196.533,195.75,196.89,197.38,195.29,1679284800000,55233
80,2421657.0,199.0208,198.76,199.7,200.0499,198.23,1679371200000,42915
81,2187887.0,199.2393,199.85,196.13,201.405,196.12,1679457600000,41631
82,2629691.0,196.8984,196.85,195.7,198.95,194.25,1679544000000,49897
83,2324909.0,195.336,194.88,196.93,196.97,193.65,1679630400000,54103
84,2425422.0,197.7713,198.27,197.43,198.6,196.92,1679889600000,46414
85,3678717.0,196.9804,197.2,197.15,197.65,196.14,1679976000000,46227
86,3486491.0,199.2974,199.09,199.99,200.09,198.61,1680062400000,52982
87,2259151.0,200.9061,201.27,201.07,201.59,200.12,1680148800000,41458
88,2986275.0,203.127,201.57,204.1,204.19,201.57,1680235200000,50762
89,3068203.0,204.1486,203.72,204.64,204.99,203.33,1680494400000,63644
90,2881821.0,203.5507,205.0,203.27,205.06,202.53,1680580800000,62319
91,3119362.0,202.4155,202.69,202.53,203.16,201.58,1680667200000,52587
92,1989792.0,202.5456,202.24,203.2,203.3376,201.45,1680753600000,38610
93,2545287.0,202.6754,202.0,203.66,203.68,201.65,1681099200000,59263
94,3389481.0,204.0657,203.87,203.87,204.64,203.4,1681185600000,58479
95,2431429.0,204.0174,205.0,203.01,205.26,202.71,1681272000000,44626
96,2197609.0,204.7366,203.53,205.65,205.8,203.34,1681358400000,39274
97,4142040.0,204.771,205.33,205.08,206.5,203.81,1681444800000,62979
98,2780375.0,205.0696,205.03,205.9,205.91,204.45,1681704000000,59095
99,2784451.0,205.9808,206.68,206.0,206.83,205.3,1681790400000,52726
100,2531413.0,205.7339,205.03,206.1,206.478,204.97,1681876800000,40466
101,2563130.0,204.9304,204.46,204.82,205.77,204.07,1681963200000,44321
102,2341577.0,204.7574,204.96,205.0,205.24,203.92,1682049600000,42866
103,3704562.0,204.7092,204.9,205.08,205.44,204.1,1682308800000,50383
104,2606411.0,202.8687,204.02,201.66,204.23,201.615,1682395200000,54006
105,2762335.0,201.4658,202.16,200.75,202.5094,200.41,1682481600000,55559
106,2254594.0,203.1208,201.86,204.52,204.69,201.83,1682568000000,41519
107,2309056.0,205.5858,204.0,206.3,206.3,204.0,1682654400000,43934
108,2838492.0,206.5505,206.0,206.2,207.18,205.99,1682913600000,53984
109,2700634.0,203.4925,205.62,203.68,205.9,202.07,1683000000000,77022
110,2153981.0,203.9781,203.85,202.49,205.49,202.35,1683086400000,44575
111,2577646.0,201.0592,201.84,200.98,202.02,200.2,1683172800000,72876
112,1942273.0,204.1629,202.85,204.69,205.27,202.7864,1683259200000,45871
113,2632608.0,204.7152,204.93,204.91,205.1,204.12,1683518400000,51620
114,1802529.0,204.2053,204.03,204.07,204.63,203.8,1683604800000,38422
115,2677618.0,204.5601,205.62,204.97,205.9395,203.05,1683691200000,47070
116,2108256.0,204.2031,204.47,204.7,204.7,203.49,1683777600000,35689
117,2252503.0,203.7574,205.04,204.22,205.28,202.93,1683864000000,41522
118,3240021.0,204.522,204.17,205.09,205.38,203.71,1684123200000,54106
119,1884873.0,204.1284,204.41,203.5,204.81,203.47,1684209600000,47409
120,2650070.0,205.1466,204.46,206.14,206.45,203.65,1684296000000,41882
121,2370198.0,206.9611,206.0,208.19,208.37,205.82,1684382400000,41839
122,2683854.0,208.0191,208.64,207.69,208.84,207.07,1684468800000,43991
123,2229402.0,208.1544,207.68,208.05,208.81,207.2,1684728000000,43460
124,2386678.0,206.8177,207.3,205.85,207.99,205.64,1684814400000,42357
125,2083662.0,204.2182,205.0,204.26,205.13,203.69,1684900800000,42833
126,2230416.0,205.3567,205.87,205.65,206.325,204.53,1684987200000,40754
127,2347048.0,207.8941,206.0,208.36,208.72,205.9702,1685073600000,42397
128,2772306.0,208.6908,209.63,208.43,209.68,207.69,1685419200000,51047
129,2325393.0,207.0685,207.49,207.18,207.975,206.3031,1685505600000,45170
130,2696735.0,208.6014,207.3,209.25,209.8,206.65,1685592000000,48852
131,3018681.0,212.1524,210.68,212.71,213.085,210.5,1685678400000,56487
132,2583259.0,212.6263,212.74,212.15,213.364,207.465,1685937600000,53750
133,2227748.0,212.8105,212.0,213.12,213.37,211.6367,1686024000000,41297
134,2272783.0,213.0999,213.34,212.7,214.12,212.39,1686110400000,44171
135,1943444.0,213.2174,212.63,213.7,213.97,212.085,1686196800000,35058
136,2086509.0,214.203,214.1,213.93,215.08,213.41,1686283200000,42090
137,2481229.0,214.8607,214.5,215.85,215.86,214.05,1686542400000,48344
