date,PIB_value,PIB_var
1939-01-01,,
1939-01-02,,
1939-01-03,,
1939-01-04,,
1939-01-05,,
1939-01-06,,
1939-01-07,,
1939-01-08,,
1939-01-09,,
1939-01-10,,
1939-01-11,,
1939-01-12,,
1939-01-13,,
1939-01-14,,
1939-01-15,,
1939-01-16,,
1939-01-17,,
1939-01-18,,
1939-01-19,,
1939-01-20,,
1939-01-21,,
1939-01-22,,
1939-01-23,,
1939-01-24,,
1939-01-25,,
1939-01-26,,
1939-01-27,,
1939-01-28,,
1939-01-29,,
1939-01-30,,
1939-01-31,,
1939-02-01,,
1939-02-02,,
1939-02-03,,
1939-02-04,,
1939-02-05,,
1939-02-06,,
1939-02-07,,
1939-02-08,,
1939-02-09,,
1939-02-10,,
1939-02-11,,
1939-02-12,,
1939-02-13,,
1939-02-14,,
1939-02-15,,
1939-02-16,,
1939-02-17,,
1939-02-18,,
1939-02-19,,
1939-02-20,,
1939-02-21,,
1939-02-22,,
1939-02-23,,
1939-02-24,,
1939-02-25,,
1939-02-26,,
1939-02-27,,
1939-02-28,,
1939-03-01,,
1939-03-02,,
1939-03-03,,
1939-03-04,,
1939-03-05,,
1939-03-06,,
1939-03-07,,
1939-03-08,,
1939-03-09,,
1939-03-10,,
1939-03-11,,
1939-03-12,,
1939-03-13,,
1939-03-14,,
1939-03-15,,
1939-03-16,,
1939-03-17,,
1939-03-18,,
1939-03-19,,
1939-03-20,,
1939-03-21,,
1939-03-22,,
1939-03-23,,
1939-03-24,,
1939-03-25,,
1939-03-26,,
1939-03-27,,
1939-03-28,,
1939-03-29,,
1939-03-30,,
1939-03-31,,
1939-04-01,,
1939-04-02,,
1939-04-03,,
1939-04-04,,
1939-04-05,,
1939-04-06,,
1939-04-07,,
1939-04-08,,
1939-04-09,,
1939-04-10,,
1939-04-11,,
1939-04-12,,
1939-04-13,,
1939-04-14,,
1939-04-15,,
1939-04-16,,
1939-04-17,,
1939-04-18,,
1939-04-19,,
1939-04-20,,
1939-04-21,,
1939-04-22,,
1939-04-23,,
1939-04-24,,
1939-04-25,,
1939-04-26,,
1939-04-27,,
1939-04-28,,
1939-04-29,,
1939-04-30,,
1939-05-01,,
1939-05-02,,
1939-05-03,,
1939-05-04,,
1939-05-05,,
1939-05-06,,
1939-05-07,,
1939-05-08,,
1939-05-09,,
1939-05-10,,
1939-05-11,,
1939-05-12,,
1939-05-13,,
1939-05-14,,
1939-05-15,,
