,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2020-01-01,1.55,0.0,3.5,-0.092,259036.99999999997,0.005,21978747.0,-0.009000000000000001,-43950.0,-0.012
2020-01-02,1.55,0.0,3.5,0.0,259043.80645161288,0.003,21958026.934065934,-0.094,-43842.290322580644,-0.245
2020-01-03,1.55,0.0,3.5,0.0,259050.6129032258,0.003,21937306.86813187,-0.094,-43734.58064516129,-0.246
2020-01-04,1.55,0.0,3.5,0.0,259057.4193548387,0.003,21916586.802197803,-0.094,-43626.87096774193,-0.246
2020-01-05,1.55,0.0,3.5,0.0,259064.22580645158,0.003,21895866.736263737,-0.095,-43519.16129032258,-0.247
2020-01-06,1.55,0.0,3.5,0.0,259071.0322580645,0.003,21875146.67032967,-0.095,-43411.45161290323,-0.247
2020-01-07,1.55,0.0,3.5,0.0,259077.8387096774,0.003,21854426.604395606,-0.095,-43303.74193548387,-0.248
2020-01-08,1.55,0.0,3.5,0.0,259084.6451612903,0.003,21833706.53846154,-0.095,-43196.032258064515,-0.249
2020-01-09,1.55,0.0,3.5,0.0,259091.4516129032,0.003,21812986.472527474,-0.095,-43088.32258064516,-0.249
2020-01-10,1.54,-0.645,3.5,0.0,259098.25806451612,0.003,21792266.40659341,-0.095,-42980.6129032258,-0.25
2020-01-11,1.54,0.0,3.5,0.0,259105.064516129,0.003,21771546.34065934,-0.095,-42872.903225806454,-0.251
2020-01-12,1.54,0.0,3.5,0.0,259111.8709677419,0.003,21750826.274725273,-0.095,-42765.1935483871,-0.251
2020-01-13,1.54,0.0,3.5,0.0,259118.67741935482,0.003,21730106.208791208,-0.095,-42657.48387096774,-0.252
2020-01-14,1.54,0.0,3.5,0.0,259125.48387096773,0.003,21709386.14285714,-0.095,-42549.77419354839,-0.252
2020-01-15,1.54,0.0,3.5,0.0,259132.29032258064,0.003,21688666.076923076,-0.095,-42442.06451612903,-0.253
2020-01-16,1.54,0.0,3.5,0.0,259139.09677419355,0.003,21667946.01098901,-0.096,-42334.354838709674,-0.254
2020-01-17,1.55,0.649,3.5,0.0,259145.90322580643,0.003,21647225.945054945,-0.096,-42226.645161290326,-0.254
2020-01-18,1.55,0.0,3.5,0.0,259152.70967741933,0.003,21626505.87912088,-0.096,-42118.93548387097,-0.255
2020-01-19,1.55,0.0,3.5,0.0,259159.51612903224,0.003,21605785.813186813,-0.096,-42011.22580645161,-0.256
2020-01-20,1.55,0.0,3.5,0.0,259166.32258064515,0.003,21585065.747252747,-0.096,-41903.51612903226,-0.256
2020-01-21,1.55,0.0,3.5,0.0,259173.12903225806,0.003,21564345.68131868,-0.096,-41795.8064516129,-0.257
2020-01-22,1.55,0.0,3.5,0.0,259179.93548387097,0.003,21543625.615384616,-0.096,-41688.096774193546,-0.258
2020-01-23,1.55,0.0,3.5,0.0,259186.74193548385,0.003,21522905.54945055,-0.096,-41580.3870967742,-0.258
2020-01-24,1.55,0.0,3.5,0.0,259193.54838709676,0.003,21502185.483516484,-0.096,-41472.67741935484,-0.259
2020-01-25,1.55,0.0,3.5,0.0,259200.35483870967,0.003,21481465.41758242,-0.096,-41364.967741935485,-0.26
2020-01-26,1.55,0.0,3.5,0.0,259207.16129032258,0.003,21460745.351648353,-0.096,-41257.25806451613,-0.26
2020-01-27,1.55,0.0,3.5,0.0,259213.96774193548,0.003,21440025.285714287,-0.097,-41149.54838709677,-0.261
2020-01-28,1.55,0.0,3.5,0.0,259220.7741935484,0.003,21419305.21978022,-0.097,-41041.83870967742,-0.262
2020-01-29,1.55,0.0,3.5,0.0,259227.58064516127,0.003,21398585.153846152,-0.097,-40934.12903225807,-0.262
2020-01-30,1.6,3.2259999999999995,3.5,0.0,259234.38709677418,0.003,21377865.087912086,-0.097,-40826.41935483871,-0.263
2020-01-31,1.59,-0.625,3.5,0.0,259241.1935483871,0.003,21357145.02197802,-0.097,-40718.709677419356,-0.264
2020-02-01,1.59,0.0,3.5,0.0,259248.0,0.003,21336424.956043955,-0.097,-40611.0,-0.265
2020-02-02,1.59,0.0,3.5310344827586206,0.8869999999999999,259209.24137931035,-0.015,21315704.89010989,-0.097,-40726.724137931036,0.28500000000000003
2020-02-03,1.59,0.0,3.5620689655172413,0.8789999999999999,259170.4827586207,-0.015,21294984.824175823,-0.097,-40842.44827586207,0.28400000000000003
2020-02-04,1.59,0.0,3.593103448275862,0.8710000000000001,259131.72413793104,-0.015,21274264.758241758,-0.097,-40958.1724137931,0.28300000000000003
2020-02-05,1.59,0.0,3.624137931034483,0.864,259092.9655172414,-0.015,21253544.692307692,-0.097,-41073.89655172414,0.28300000000000003
2020-02-06,1.59,0.0,3.6551724137931036,0.856,259054.20689655174,-0.015,21232824.626373626,-0.097,-41189.620689655174,0.28200000000000003
2020-02-07,1.58,-0.629,3.6862068965517243,0.849,259015.4482758621,-0.015,21212104.56043956,-0.098,-41305.34482758621,0.281
2020-02-08,1.58,0.0,3.717241379310345,0.8420000000000001,258976.68965517243,-0.015,21191384.494505495,-0.098,-41421.06896551724,0.27999999999999997
2020-02-09,1.58,0.0,3.7482758620689656,0.835,258937.93103448275,-0.015,21170664.42857143,-0.098,-41536.793103448275,0.27899999999999997
2020-02-10,1.58,0.0,3.779310344827586,0.828,258899.1724137931,-0.015,21149944.362637363,-0.098,-41652.51724137931,0.27899999999999997
2020-02-11,1.58,0.0,3.810344827586207,0.8210000000000001,258860.41379310345,-0.015,21129224.296703298,-0.098,-41768.24137931035,0.27799999999999997
2020-02-12,1.58,0.0,3.841379310344828,0.814,258821.6551724138,-0.015,21108504.230769232,-0.098,-41883.96551724138,0.27699999999999997
2020-02-13,1.58,0.0,3.8724137931034486,0.808,258782.89655172414,-0.015,21087784.164835166,-0.098,-41999.68965517241,0.27599999999999997
2020-02-14,1.58,0.0,3.903448275862069,0.8009999999999999,258744.1379310345,-0.015,21067064.0989011,-0.098,-42115.41379310345,0.27599999999999997
2020-02-15,1.58,0.0,3.93448275862069,0.795,258705.37931034484,-0.015,21046344.032967035,-0.098,-42231.137931034486,0.27499999999999997
2020-02-16,1.58,0.0,3.9655172413793105,0.7889999999999999,258666.6206896552,-0.015,21025623.96703297,-0.098,-42346.862068965514,0.27399999999999997
2020-02-17,1.58,0.0,3.996551724137931,0.783,258627.86206896554,-0.015,21004903.9010989,-0.099,-42462.58620689655,0.27299999999999996
2020-02-18,1.59,0.633,4.027586206896552,0.777,258589.10344827588,-0.015,20984183.835164834,-0.099,-42578.31034482759,0.27299999999999996
2020-02-19,1.59,0.0,4.058620689655172,0.771,258550.34482758623,-0.015,20963463.769230768,-0.099,-42694.03448275862,0.272
2020-02-20,1.59,0.0,4.089655172413793,0.765,258511.58620689658,-0.015,20942743.703296702,-0.099,-42809.75862068965,0.271
2020-02-21,1.58,-0.629,4.120689655172414,0.759,258472.82758620693,-0.015,20922023.637362637,-0.099,-42925.48275862069,0.27
2020-02-22,1.58,0.0,4.151724137931035,0.753,258434.06896551728,-0.015,20901303.57142857,-0.099,-43041.206896551725,0.27
2020-02-23,1.58,0.0,4.182758620689656,0.748,258395.3103448276,-0.015,20880583.505494505,-0.099,-43156.93103448276,0.269
2020-02-24,1.58,0.0,4.2137931034482765,0.742,258356.55172413794,-0.015,20859863.43956044,-0.099,-43272.65517241379,0.268
2020-02-25,1.58,0.0,4.244827586206897,0.736,258317.7931034483,-0.015,20839143.373626374,-0.099,-43388.379310344826,0.267
2020-02-26,1.58,0.0,4.275862068965518,0.731,258279.03448275864,-0.015,20818423.307692308,-0.099,-43504.10344827586,0.267
2020-02-27,1.58,0.0,4.306896551724138,0.726,258240.275862069,-0.015,20797703.241758242,-0.1,-43619.8275862069,0.266
2020-02-28,1.58,0.0,4.337931034482759,0.721,258201.51724137933,-0.015,20776983.175824177,-0.1,-43735.55172413793,0.265
2020-02-29,1.58,0.0,4.36896551724138,0.715,258162.75862068968,-0.015,20756263.10989011,-0.1,-43851.275862068964,0.265
2020-03-01,1.58,0.0,4.4,0.7100000000000001,258124.00000000003,-0.015,20735543.043956045,-0.1,-43967.0,0.264
2020-03-02,1.59,0.633,4.732258064516129,7.550999999999999,258058.45161290324,-0.025,20714822.97802198,-0.1,-44257.77419354839,0.661
2020-03-03,1.59,0.0,5.064516129032258,7.020999999999999,257992.90322580648,-0.025,20694102.912087914,-0.1,-44548.54838709677,0.657
2020-03-04,1.09,-31.447000000000003,5.396774193548387,6.561,257927.3548387097,-0.025,20673382.846153848,-0.1,-44839.32258064516,0.653
2020-03-05,1.09,0.0,5.7290322580645165,6.157,257861.80645161294,-0.025,20652662.78021978,-0.1,-45130.096774193546,0.6479999999999999
2020-03-06,1.09,0.0,6.061290322580645,5.800000000000001,257796.25806451615,-0.025,20631942.714285713,-0.1,-45420.87096774193,0.644
2020-03-07,1.09,0.0,6.393548387096774,5.482,257730.70967741936,-0.025,20611222.648351647,-0.1,-45711.645161290326,0.64
2020-03-08,1.09,0.0,6.725806451612904,5.197,257665.1612903226,-0.025,20590502.58241758,-0.101,-46002.41935483871,0.636
2020-03-09,1.09,0.0,7.058064516129033,4.9399999999999995,257599.61290322582,-0.025,20569782.516483516,-0.101,-46293.1935483871,0.632
2020-03-10,1.09,0.0,7.390322580645162,4.707,257534.06451612903,-0.025,20549062.45054945,-0.101,-46583.967741935485,0.628
