ds,y,VTI_6_days_ago,pct_change_6d,TPM_var,TDES_var,IPC_var,BC_var
2022-12-01,204.18,200.17,0.9175699521048575,0.0,-0.095,0.002,0.388
2022-12-02,203.99,201.39,0.5140746656018935,0.0,-0.092,0.017,-0.037
2022-12-03,203.99,201.39,0.5140746656018935,0.0,-0.092,0.017,-0.037
2022-12-04,203.99,201.39,0.5140746656018935,0.0,-0.092,0.017,-0.037
2022-12-05,199.98,201.54,1.6236385639370798,0.0,-0.092,0.017,-0.037
2022-12-06,196.98,198.27,0.3949567066686921,0.0,-0.093,0.017,-0.037
2022-12-07,196.66,197.96,-0.2318314686019507,0.0,-0.093,0.017,-0.037
2022-12-08,198.36,204.06,3.2796841785605713,0.0,-0.093,0.017,-0.037
2022-12-09,196.7,204.18,2.0032971973822367,0.0,-0.093,0.017,-0.037
2022-12-10,196.7,204.18,2.0032971973822367,0.0,-0.093,0.017,-0.037
2022-12-11,196.7,204.18,2.0032971973822367,0.0,-0.093,0.017,-0.037
2022-12-12,199.53,203.99,1.2910273598490507,0.0,-0.093,0.017,-0.037
2022-12-13,201.02,199.98,-0.7740398928252512,0.0,-0.093,0.017,-0.037
2022-12-14,199.9,196.98,-0.6506279316084274,0.0,-0.093,0.017,-0.037
2022-12-15,194.92,196.66,-0.656698322893523,13.055,-0.093,0.017,-0.037
2022-12-16,192.69,198.36,-2.7932960893854664,0.0,-0.093,0.017,-0.037
2022-12-17,192.69,198.36,-2.7932960893854664,0.0,-0.093,0.017,-0.037
2022-12-18,192.69,198.36,-2.7932960893854664,0.0,-0.093,0.017,-0.037
2022-12-19,190.75,196.7,-3.663434224703699,0.0,-0.094,0.017,-0.037
2022-12-20,191.15,199.53,-2.186381685376737,0.0,-0.094,0.017,-0.037
2022-12-21,194.04,201.02,0.5200520052005331,0.0,-0.094,0.017,-0.037
2022-12-22,190.37,199.9,1.4823839983754805,0.0,-0.094,0.017,-0.037
2022-12-23,191.42,194.92,-0.8847757551103452,0.0,-0.094,0.017,-0.037
2022-12-24,191.42,194.92,-0.8847757551103452,0.0,-0.094,0.017,-0.037
2022-12-25,191.42,194.92,-0.8847757551103452,0.0,-0.094,0.017,-0.037
2022-12-26,191.42,194.92,-0.8847757551103452,0.0,-0.094,0.017,-0.037
2022-12-27,190.62,192.69,-2.858439201451912,0.0,-0.094,0.017,-0.037
2022-12-28,188.22,190.75,-3.0249110320284656,0.0,-0.094,0.017,-0.037
2022-12-29,191.68,191.15,-4.1998696937803786,0.0,-0.095,0.017,-0.037
2022-12-30,191.19,194.04,-3.4722913142970935,0.0,-0.095,0.017,-0.037
2022-12-31,191.19,194.04,-3.4722913142970935,0.0,-0.095,0.017,-0.037
2023-01-01,191.19,194.04,-3.4722913142970935,0.0,-0.095,0.017,-0.037
2023-01-02,191.19,194.04,-3.4722913142970935,0.0,-0.095,0.017,-0.037
2023-01-03,190.41,190.37,-4.767383691845928,0.0,0.189,0.012,0.026
2023-01-04,192.1,191.42,-1.7956084547506634,0.0,0.189,0.012,0.026
2023-01-05,189.85,190.62,-1.0742643624474524,0.0,0.189,0.012,0.026
2023-01-06,194.04,188.22,-1.32634338138925,0.0,0.188,0.012,0.026
2023-01-07,194.04,188.22,-1.32634338138925,0.0,0.188,0.012,0.026
2023-01-08,194.04,188.22,-1.32634338138925,0.0,0.188,0.012,0.026
2023-01-09,194.12,191.68,0.2772691603452726,0.0,0.187,0.012,0.026
2023-01-10,195.65,191.19,-1.4687693259121781,0.0,0.187,0.012,0.026
2023-01-11,198.23,190.41,0.021011714030572115,0.0,0.187,0.012,0.026
2023-01-12,199.19,192.1,0.3552397868561208,0.0,0.186,0.012,0.026
2023-01-13,200.04,189.85,-0.403945021508767,0.0,0.186,0.012,0.026
2023-01-14,200.04,189.85,-0.403945021508767,0.0,0.186,0.012,0.026
2023-01-15,200.04,189.85,-0.403945021508767,0.0,0.186,0.012,0.026
2023-01-16,200.04,189.85,-0.403945021508767,0.0,0.186,0.012,0.026
2023-01-17,199.77,194.04,3.0921262352566092,0.0,0.185,0.012,0.026
2023-01-18,196.62,194.12,1.2729549248747807,0.0,0.184,0.012,0.026
2023-01-19,195.02,195.65,2.3327579894345973,0.0,0.184,0.012,0.026
2023-01-20,198.76,198.23,4.1069271571871235,0.0,0.183,0.012,0.026
2023-01-21,198.76,198.23,4.1069271571871235,0.0,0.183,0.012,0.026
2023-01-22,198.76,198.23,4.1069271571871235,0.0,0.183,0.012,0.026
2023-01-23,201.28,199.19,3.690786048932848,0.0,0.182,0.012,0.026
2023-01-24,200.95,200.04,5.3673953120884965,0.0,0.182,0.012,0.026
2023-01-25,201.05,199.77,2.952999381570809,0.0,0.182,0.012,0.026
2023-01-26,203.12,196.62,1.2878631774160265,0.0,0.181,0.012,0.026
2023-01-27,203.94,195.02,-0.3220035778175312,0.0,0.181,0.012,0.026
2023-01-28,203.94,195.02,-0.3220035778175312,0.0,0.181,0.012,0.026
2023-01-29,203.94,195.02,-0.3220035778175312,0.0,0.181,0.012,0.026
2023-01-30,201.21,198.76,0.2673661907884872,0.0,0.18,0.012,0.026
2023-01-31,204.43,201.28,1.0492494603142832,0.0,0.18,0.012,0.026
2023-02-01,206.92,200.95,0.45490901819635887,0.0,0.18,0.012,0.026
2023-02-02,210.01,201.05,0.6407368473744901,5.774,-0.099,0.003,-0.517
2023-02-03,207.84,203.12,3.30586918929916,0.0,-0.099,0.003,-0.519
2023-02-04,207.84,203.12,3.30586918929916,0.0,-0.099,0.003,-0.519
2023-02-05,207.84,203.12,3.30586918929916,0.0,-0.099,0.003,-0.519
2023-02-06,206.28,203.94,4.573889857450508,0.0,-0.1,0.003,-0.527
2023-02-07,208.88,201.21,1.232642382773208,0.0,-0.1,0.003,-0.53
2023-02-08,206.65,204.43,1.564984101748812,0.0,-0.1,0.003,-0.5329999999999999
2023-02-09,204.64,206.92,2.970888280666828,-0.218,-0.1,0.003,-0.536
2023-02-10,205.01,210.01,4.456602835115642,0.219,-0.1,0.003,-0.539
2023-02-11,205.01,210.01,4.456602835115642,0.219,-0.1,0.003,-0.539
2023-02-12,205.01,210.01,4.456602835115642,0.219,-0.1,0.003,-0.539
2023-02-13,207.45,207.84,2.323749507680195,0.0,-0.1,0.003,-0.5479999999999999
2023-02-14,207.53,206.28,1.1473962930273585,0.0,-0.1,0.003,-0.551
2023-02-15,208.46,208.88,3.8119377764524565,0.0,-0.101,0.003,-0.5539999999999999
2023-02-16,205.68,206.65,1.0859462896835037,0.0,-0.101,0.003,-0.557
2023-02-17,205.08,204.64,-1.1018751208196398,0.0,-0.101,0.003,-0.5599999999999999
2023-02-18,205.08,204.64,-1.1018751208196398,0.0,-0.101,0.003,-0.5599999999999999
2023-02-19,205.08,204.64,-1.1018751208196398,0.0,-0.101,0.003,-0.5599999999999999
2023-02-20,205.08,204.64,-1.1018751208196398,0.0,-0.101,0.003,-0.5599999999999999
2023-02-21,200.83,205.01,-2.380839007666302,0.0,-0.101,0.003,-0.573
2023-02-22,200.66,207.45,-0.18764434180139622,0.0,-0.101,0.003,-0.5760000000000001
2023-02-23,201.73,207.53,0.6059724646112041,0.0,-0.101,0.003,-0.579
2023-02-24,199.48,208.46,-0.20107238605897582,0.0,-0.101,0.003,-0.583
2023-02-25,199.48,208.46,-0.20107238605897582,0.0,-0.101,0.003,-0.583
2023-02-26,199.48,208.46,-0.20107238605897582,0.0,-0.101,0.003,-0.583
2023-02-27,200.19,205.68,-0.4693926929591141,-0.218,-0.10200000000000001,0.003,-0.5930000000000001
