,ds,y,VTI_5_days_ago,pct_change_5d,TPM_var,TDES_var,IPC_var,BC_var
0,2022-12-01,204.18,201.39,,0.0,-0.095,0.002,0.388
1,2022-12-02,203.99,201.54,,0.0,-0.092,0.017,-0.037
2,2022-12-03,203.99,201.54,,0.0,-0.092,0.017,-0.037
3,2022-12-04,203.99,201.54,,0.0,-0.092,0.017,-0.037
4,2022-12-05,199.98,198.27,,0.0,-0.092,0.017,-0.037
5,2022-12-06,196.98,197.96,,0.0,-0.093,0.017,-0.037
6,2022-12-07,196.66,204.06,1.9433481540690467,0.0,-0.093,0.017,-0.037
7,2022-12-08,198.36,204.18,1.3853716669149474,0.0,-0.093,0.017,-0.037
8,2022-12-09,196.7,203.99,1.2156395752704219,0.0,-0.093,0.017,-0.037
9,2022-12-10,196.7,203.99,1.2156395752704219,0.0,-0.093,0.017,-0.037
10,2022-12-11,196.7,203.99,1.2156395752704219,0.0,-0.093,0.017,-0.037
11,2022-12-12,199.53,199.98,0.8624602814343962,0.0,-0.093,0.017,-0.037
12,2022-12-13,201.02,196.98,-0.4950495049505066,0.0,-0.093,0.017,-0.037
13,2022-12-14,199.9,196.66,-3.626384396746063,0.0,-0.093,0.017,-0.037
14,2022-12-15,194.92,198.36,-2.8504260946223936,13.055,-0.093,0.017,-0.037
15,2022-12-16,192.69,196.7,-3.5737045933624256,0.0,-0.093,0.017,-0.037
16,2022-12-17,192.69,196.7,-3.5737045933624256,0.0,-0.093,0.017,-0.037
17,2022-12-18,192.69,196.7,-3.5737045933624256,0.0,-0.093,0.017,-0.037
18,2022-12-19,190.75,199.53,-0.22502250225021614,0.0,-0.094,0.017,-0.037
19,2022-12-20,191.15,201.02,2.0509696415879963,0.0,-0.094,0.017,-0.037
20,2022-12-21,194.04,199.9,1.6475134750330467,0.0,-0.094,0.017,-0.037
21,2022-12-22,190.37,194.92,-1.734220608993764,0.0,-0.094,0.017,-0.037
22,2022-12-23,191.42,192.69,-2.0386375190645567,0.0,-0.094,0.017,-0.037
23,2022-12-24,191.42,192.69,-2.0386375190645567,0.0,-0.094,0.017,-0.037
24,2022-12-25,191.42,192.69,-2.0386375190645567,0.0,-0.094,0.017,-0.037
25,2022-12-26,191.42,192.69,-2.0386375190645567,0.0,-0.094,0.017,-0.037
26,2022-12-27,190.62,190.75,-4.400340800882074,0.0,-0.094,0.017,-0.037
27,2022-12-28,188.22,191.15,-4.909959208039005,0.0,-0.094,0.017,-0.037
28,2022-12-29,191.68,194.04,-2.931465732866445,0.0,-0.095,0.017,-0.037
29,2022-12-30,191.19,190.37,-2.334290991175858,0.0,-0.095,0.017,-0.037
30,2022-12-31,191.19,190.37,-2.334290991175858,0.0,-0.095,0.017,-0.037
31,2023-01-01,191.19,190.37,-2.334290991175858,0.0,-0.095,0.017,-0.037
32,2023-01-02,191.19,190.37,-2.334290991175858,0.0,-0.095,0.017,-0.037
33,2023-01-03,190.41,191.42,-0.6590897296175235,0.0,0.189,0.012,0.026
34,2023-01-04,192.1,190.62,-0.06815203145478232,0.0,0.189,0.012,0.026
35,2023-01-05,189.85,188.22,-1.5328276222861703,0.0,0.189,0.012,0.026
36,2023-01-06,194.04,191.68,-1.2162440733869184,0.0,0.188,0.012,0.026
37,2023-01-07,194.04,191.68,-1.2162440733869184,0.0,0.188,0.012,0.026
38,2023-01-08,194.04,191.68,-1.2162440733869184,0.0,0.188,0.012,0.026
39,2023-01-09,194.12,191.19,0.43074013762671726,0.0,0.187,0.012,0.026
40,2023-01-10,195.65,190.41,-0.5276355657716003,0.0,0.187,0.012,0.026
41,2023-01-11,198.23,192.1,0.7764138075752713,0.0,0.187,0.012,0.026
42,2023-01-12,199.19,189.85,0.8660078631388846,0.0,0.186,0.012,0.026
43,2023-01-13,200.04,194.04,1.2312186978297168,0.0,0.186,0.012,0.026
44,2023-01-14,200.04,194.04,1.2312186978297168,0.0,0.186,0.012,0.026
45,2023-01-15,200.04,194.04,1.2312186978297168,0.0,0.186,0.012,0.026
46,2023-01-16,200.04,194.04,1.2312186978297168,0.0,0.186,0.012,0.026
47,2023-01-17,199.77,194.12,1.5325069302787764,0.0,0.185,0.012,0.026
48,2023-01-18,196.62,195.65,2.751956304815928,0.0,0.184,0.012,0.026
49,2023-01-19,195.02,198.23,3.19104633003644,0.0,0.184,0.012,0.026
50,2023-01-20,198.76,199.19,4.919673426389259,0.0,0.183,0.012,0.026
51,2023-01-21,198.76,199.19,4.919673426389259,0.0,0.183,0.012,0.026
52,2023-01-22,198.76,199.19,4.919673426389259,0.0,0.183,0.012,0.026
53,2023-01-23,201.28,200.04,3.092145949288816,0.0,0.182,0.012,0.026
54,2023-01-24,200.95,199.77,2.910570780960242,0.0,0.182,0.012,0.026
55,2023-01-25,201.05,196.62,0.49578328648096637,0.0,0.182,0.012,0.026
56,2023-01-26,203.12,195.02,-1.619331080058506,0.0,0.181,0.012,0.026
57,2023-01-27,203.94,198.76,-0.21587429087805976,0.0,0.181,0.012,0.026
58,2023-01-28,203.94,198.76,-0.21587429087805976,0.0,0.181,0.012,0.026
59,2023-01-29,203.94,198.76,-0.21587429087805976,0.0,0.181,0.012,0.026
60,2023-01-30,201.21,201.28,0.6198760247950519,0.0,0.18,0.012,0.026
61,2023-01-31,204.43,200.95,0.5906792811733341,0.0,0.18,0.012,0.026
62,2023-02-01,206.92,201.05,2.2530770013223567,0.0,0.18,0.012,0.026
63,2023-02-02,210.01,203.12,4.15342016203466,5.774,-0.099,0.003,-0.517
64,2023-02-03,207.84,203.94,2.606158180720475,0.0,-0.099,0.003,-0.519
65,2023-02-04,207.84,203.94,2.606158180720475,0.0,-0.099,0.003,-0.519
66,2023-02-05,207.84,203.94,2.606158180720475,0.0,-0.099,0.003,-0.519
67,2023-02-06,206.28,201.21,-0.03477742448330101,0.0,-0.1,0.003,-0.527
68,2023-02-07,208.88,204.43,1.7317740731525255,0.0,-0.1,0.003,-0.53
69,2023-02-08,206.65,206.92,2.9196717234518665,0.0,-0.1,0.003,-0.5329999999999999
70,2023-02-09,204.64,210.01,3.392083497439935,-0.218,-0.1,0.003,-0.536
71,2023-02-10,205.01,207.84,1.9123271550456122,0.219,-0.1,0.003,-0.539
